##Supplementary Table 1. Accession numbers of YKOC colonies sequenced.		
##LEGEND		
##Deletion_Strain	Unique ID identifying the KO strain from which colonies were derived	
##SD_code	Unique ID identifying a single colony	
##ERS accession number	Accession code to download data from the European Nucleotide Archive	
#Deletion_Strain	SD_code	ERS accession number
Del266_YNR066C	SD1128b	ERS838608
Del266_YNR066C	SD1128b2	ERS838609
Del267_DSE4	SD1129b	ERS838610
Del267_DSE4	SD1129b2	ERS838611
Del268_YNR068C	SD1130b	ERS838612
Del268_YNR068C	SD1130b2	ERS838613
Del269_AST2	SD1131b	ERS838614
Del269_AST2	SD1131b2	ERS838615
Del270_SSA4	SD1132b	ERS864105
Del270_SSA4	SD1132b2	ERS864106
Del271_MAM1	SD1133b	ERS864107
Del271_MAM1	SD1133b2	ERS864108
Del272_YER108C	SD1134b	ERS864109
Del272_YER108C	SD1134b2	ERS864110
Del273_FLO8	SD1135b	ERS864111
Del274_KAP123	SD1136b	ERS864113
Del274_KAP123	SD1136b2	ERS864114
Del275_SWI4	SD1137b	ERS864115
Del275_SWI4	SD1137b2	ERS864116
Del276_TMN3	SD1138b	ERS864117
Del276_TMN3	SD1138b2	ERS864118
Del277_BOI2	SD1139b	ERS864119
Del277_BOI2	SD1139b2	ERS864120
Del278_SPR6	SD1140b	ERS864121
Del278_SPR6	SD1140b2	ERS864122
Del279_SLX8	SD1141b	ERS864123
Del279_SLX8	SD1141b2	ERS864124
Del280_RPL23B	SD1142b	ERS864125
Del280_RPL23B	SD1142b2	ERS864126
Del281_SHO1	SD1143b	ERS864127
Del281_SHO1	SD1143b2	ERS864128
Del282_AVT6	SD1144b	ERS864129
Del282_AVT6	SD1144b2	ERS864130
Del283_YER119C-A	SD1145b	ERS864131
Del283_YER119C-A	SD1145b2	ERS864132
Del284_SCS2	SD1146b	ERS864133
Del284_SCS2	SD1146b2	ERS864134
Del285_YER121W	SD1147b	ERS864135
Del285_YER121W	SD1147b2	ERS864136
Del286_GLO3	SD1148b	ERS969963
Del286_GLO3	SD1148b2	ERS969964
Del287_YCK3	SD1149b	ERS864137
Del287_YCK3	SD1149b2	ERS864138
Del288_DSE1	SD1150b	ERS864139
Del288_DSE1	SD1150b2	ERS864140
Del289_VFA1	SD1151b	ERS864141
